"[[0], [0], [0]]","[[16], [1], [0]]","[[15], [2], [0]]","[[14], [3], [0]]","[[13], [4], [0]]","[[12], [5], [0]]","[[11], [6], [0]]","[[10], [7], [0]]","[[9], [8], [0]]","[[8], [9], [0]]","[[7], [10], [0]]","[[6], [11], [0]]","[[5], [12], [0]]","[[4], [13], [0]]","[[3], [14], [0]]","[[2], [15], [0]]","[[1], [16], [0]]","[[16], [0], [1]]","[[15], [1], [1]]","[[14], [2], [1]]","[[13], [3], [1]]","[[12], [4], [1]]","[[11], [5], [1]]","[[10], [6], [1]]","[[9], [7], [1]]","[[8], [8], [1]]","[[7], [9], [1]]","[[6], [10], [1]]","[[5], [11], [1]]","[[4], [12], [1]]","[[3], [13], [1]]","[[2], [14], [1]]","[[1], [15], [1]]","[[0], [16], [1]]","[[15], [0], [2]]","[[14], [1], [2]]","[[13], [2], [2]]","[[12], [3], [2]]","[[11], [4], [2]]","[[10], [5], [2]]","[[9], [6], [2]]","[[8], [7], [2]]","[[7], [8], [2]]","[[6], [9], [2]]","[[5], [10], [2]]","[[4], [11], [2]]","[[3], [12], [2]]","[[2], [13], [2]]","[[1], [14], [2]]","[[0], [15], [2]]","[[16], [16], [2]]","[[14], [0], [3]]","[[13], [1], [3]]","[[12], [2], [3]]","[[11], [3], [3]]","[[10], [4], [3]]","[[9], [5], [3]]","[[8], [6], [3]]","[[7], [7], [3]]","[[6], [8], [3]]","[[5], [9], [3]]","[[4], [10], [3]]","[[3], [11], [3]]","[[2], [12], [3]]","[[1], [13], [3]]","[[0], [14], [3]]","[[16], [15], [3]]","[[15], [16], [3]]","[[13], [0], [4]]","[[12], [1], [4]]","[[11], [2], [4]]","[[10], [3], [4]]","[[9], [4], [4]]","[[8], [5], [4]]","[[7], [6], [4]]","[[6], [7], [4]]","[[5], [8], [4]]","[[4], [9], [4]]","[[3], [10], [4]]","[[2], [11], [4]]","[[1], [12], [4]]","[[0], [13], [4]]","[[16], [14], [4]]","[[15], [15], [4]]","[[14], [16], [4]]","[[12], [0], [5]]","[[11], [1], [5]]","[[10], [2], [5]]","[[9], [3], [5]]","[[8], [4], [5]]","[[7], [5], [5]]","[[6], [6], [5]]","[[5], [7], [5]]","[[4], [8], [5]]","[[3], [9], [5]]","[[2], [10], [5]]","[[1], [11], [5]]","[[0], [12], [5]]","[[16], [13], [5]]","[[15], [14], [5]]","[[14], [15], [5]]","[[13], [16], [5]]","[[11], [0], [6]]","[[10], [1], [6]]","[[9], [2], [6]]","[[8], [3], [6]]","[[7], [4], [6]]","[[6], [5], [6]]","[[5], [6], [6]]","[[4], [7], [6]]","[[3], [8], [6]]","[[2], [9], [6]]","[[1], [10], [6]]","[[0], [11], [6]]","[[16], [12], [6]]","[[15], [13], [6]]","[[14], [14], [6]]","[[13], [15], [6]]","[[12], [16], [6]]","[[10], [0], [7]]","[[9], [1], [7]]","[[8], [2], [7]]","[[7], [3], [7]]","[[6], [4], [7]]","[[5], [5], [7]]","[[4], [6], [7]]","[[3], [7], [7]]","[[2], [8], [7]]","[[1], [9], [7]]","[[0], [10], [7]]","[[16], [11], [7]]","[[15], [12], [7]]","[[14], [13], [7]]","[[13], [14], [7]]","[[12], [15], [7]]","[[11], [16], [7]]","[[9], [0], [8]]","[[8], [1], [8]]","[[7], [2], [8]]","[[6], [3], [8]]","[[5], [4], [8]]","[[4], [5], [8]]","[[3], [6], [8]]","[[2], [7], [8]]","[[1], [8], [8]]","[[0], [9], [8]]","[[16], [10], [8]]","[[15], [11], [8]]","[[14], [12], [8]]","[[13], [13], [8]]","[[12], [14], [8]]","[[11], [15], [8]]","[[10], [16], [8]]","[[8], [0], [9]]","[[7], [1], [9]]","[[6], [2], [9]]","[[5], [3], [9]]","[[4], [4], [9]]","[[3], [5], [9]]","[[2], [6], [9]]","[[1], [7], [9]]","[[0], [8], [9]]","[[16], [9], [9]]","[[15], [10], [9]]","[[14], [11], [9]]","[[13], [12], [9]]","[[12], [13], [9]]","[[11], [14], [9]]","[[10], [15], [9]]","[[9], [16], [9]]","[[7], [0], [10]]","[[6], [1], [10]]","[[5], [2], [10]]","[[4], [3], [10]]","[[3], [4], [10]]","[[2], [5], [10]]","[[1], [6], [10]]","[[0], [7], [10]]","[[16], [8], [10]]","[[15], [9], [10]]","[[14], [10], [10]]","[[13], [11], [10]]","[[12], [12], [10]]","[[11], [13], [10]]","[[10], [14], [10]]","[[9], [15], [10]]","[[8], [16], [10]]","[[6], [0], [11]]","[[5], [1], [11]]","[[4], [2], [11]]","[[3], [3], [11]]","[[2], [4], [11]]","[[1], [5], [11]]","[[0], [6], [11]]","[[16], [7], [11]]","[[15], [8], [11]]","[[14], [9], [11]]","[[13], [10], [11]]","[[12], [11], [11]]","[[11], [12], [11]]","[[10], [13], [11]]","[[9], [14], [11]]","[[8], [15], [11]]","[[7], [16], [11]]","[[5], [0], [12]]","[[4], [1], [12]]","[[3], [2], [12]]","[[2], [3], [12]]","[[1], [4], [12]]","[[0], [5], [12]]","[[16], [6], [12]]","[[15], [7], [12]]","[[14], [8], [12]]","[[13], [9], [12]]","[[12], [10], [12]]","[[11], [11], [12]]","[[10], [12], [12]]","[[9], [13], [12]]","[[8], [14], [12]]","[[7], [15], [12]]","[[6], [16], [12]]","[[4], [0], [13]]","[[3], [1], [13]]","[[2], [2], [13]]","[[1], [3], [13]]","[[0], [4], [13]]","[[16], [5], [13]]","[[15], [6], [13]]","[[14], [7], [13]]","[[13], [8], [13]]","[[12], [9], [13]]","[[11], [10], [13]]","[[10], [11], [13]]","[[9], [12], [13]]","[[8], [13], [13]]","[[7], [14], [13]]","[[6], [15], [13]]","[[5], [16], [13]]","[[3], [0], [14]]","[[2], [1], [14]]","[[1], [2], [14]]","[[0], [3], [14]]","[[16], [4], [14]]","[[15], [5], [14]]","[[14], [6], [14]]","[[13], [7], [14]]","[[12], [8], [14]]","[[11], [9], [14]]","[[10], [10], [14]]","[[9], [11], [14]]","[[8], [12], [14]]","[[7], [13], [14]]","[[6], [14], [14]]","[[5], [15], [14]]","[[4], [16], [14]]","[[2], [0], [15]]","[[1], [1], [15]]","[[0], [2], [15]]","[[16], [3], [15]]","[[15], [4], [15]]","[[14], [5], [15]]","[[13], [6], [15]]","[[12], [7], [15]]","[[11], [8], [15]]","[[10], [9], [15]]","[[9], [10], [15]]","[[8], [11], [15]]","[[7], [12], [15]]","[[6], [13], [15]]","[[5], [14], [15]]","[[4], [15], [15]]","[[3], [16], [15]]","[[1], [0], [16]]","[[0], [1], [16]]","[[16], [2], [16]]","[[15], [3], [16]]","[[14], [4], [16]]","[[13], [5], [16]]","[[12], [6], [16]]","[[11], [7], [16]]","[[10], [8], [16]]","[[9], [9], [16]]","[[8], [10], [16]]","[[7], [11], [16]]","[[6], [12], [16]]","[[5], [13], [16]]","[[4], [14], [16]]","[[3], [15], [16]]","[[2], [16], [16]]"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
